date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
3/26/2015,0,0,0,1,0,0,0,0,0.32,0,15518,1846,17364
3/27/2015,0,0,0,0,1,0,0,0,0.27,0,16500,1958,18458
3/28/2015,0,0,0,0,0,1,0,0,0,0,15067,1759,16826
3/29/2015,0,0,0,0,0,0,1,0,0,0,11691,1148,12839
3/30/2015,1,0,0,0,0,0,0,0,0,0,13264,1224,14488
3/31/2015,0,1,0,0,0,0,0,0,0.17,0,14822,1780,16602
4/1/2015,0,0,1,0,0,0,0,0,0,0,15552,1784,17336
4/2/2015,0,0,0,1,0,0,0,0,0,0,15590,1880,17470
4/3/2015,0,0,0,0,1,0,0,0,0.04,0,13946,1779,15725
4/4/2015,0,0,0,0,0,1,0,0,0.01,0,11377,1059,12436
4/5/2015,0,0,0,0,0,0,1,0,0,0,9553,820,10373
4/6/2015,1,0,0,0,0,0,0,0,0,0,12657,1207,13864
4/7/2015,0,1,0,0,0,0,0,0,0.15,0,14698,1715,16413
4/8/2015,0,0,1,0,0,0,0,0,0,0,15222,1758,16980
4/9/2015,0,0,0,1,0,0,0,0,0,0,16053,1967,18020
4/10/2015,0,0,0,0,1,0,0,0,0.17,0,16151,2046,18197
4/11/2015,0,0,0,0,0,1,0,0,0,0,14372,1527,15899
4/12/2015,0,0,0,0,0,0,1,0,0,0,11365,1044,12409
4/13/2015,1,0,0,0,0,0,0,0,0,0,12736,1306,14042
4/14/2015,0,1,0,0,0,0,0,0,0.01,0,14691,1674,16365
4/15/2015,0,0,1,0,0,0,0,0,0,0,14730,1696,16426
4/16/2015,0,0,0,1,0,0,0,0,0,0,15606,2013,17619
4/17/2015,0,0,0,0,1,0,0,0,0.08,0,15810,2030,17840
4/18/2015,0,0,0,0,0,1,0,0,0,0,15825,1762,17587
4/19/2015,0,0,0,0,0,0,1,0,0,0,12802,1205,14007
4/20/2015,1,0,0,0,0,0,0,0,1.37,0,13481,2054,15535
4/21/2015,0,1,0,0,0,0,0,0,0.2,0,14327,1639,15966
4/22/2015,0,0,1,0,0,0,0,0,0.05,0,14535,2132,16667
4/23/2015,0,0,0,1,0,0,0,0,0,0,15507,2181,17688
4/24/2015,0,0,0,0,1,0,0,0,0,0,15087,2473,17560
4/25/2015,0,0,0,0,0,1,0,0,0,0,14459,2095,16554
4/26/2015,0,0,0,0,0,0,1,0,0,0,11481,1453,12934
4/27/2015,1,0,0,0,0,0,0,0,0,0,13019,1495,14514
4/28/2015,0,1,0,0,0,0,0,0,0,0,14014,1719,15733
4/29/2015,0,0,1,0,0,0,0,0,0,0,14877,1855,16732
4/30/2015,0,0,0,1,0,0,0,0,0,0,15183,2049,17232
5/1/2015,0,0,0,0,1,0,0,0,0,0,15244,2274,17518
5/2/2015,0,0,0,0,0,1,0,0,0,0,15487,1945,17432
5/3/2015,0,0,0,0,0,0,1,0,0,0,12673,1255,13928
5/4/2015,1,0,0,0,0,0,0,0,0,0,12688,1410,14098
5/5/2015,0,1,0,0,0,0,0,0,0,0,15288,2016,17304
5/6/2015,0,0,1,0,0,0,0,0,0,0,15312,1939,17251
5/7/2015,0,0,0,1,0,0,0,0,0,0,15284,2215,17499
5/8/2015,0,0,0,0,1,0,0,0,0,0,15139,2258,17397
5/9/2015,0,0,0,0,0,1,0,0,0,0,13319,1652,14971
5/10/2015,0,0,0,0,0,0,1,0,0,0,10569,1171,11740
5/11/2015,1,0,0,0,0,0,0,0,0,0,12934,1648,14582
5/12/2015,0,1,0,0,0,0,0,0,0,0,14017,1802,15819
5/13/2015,0,0,1,0,0,0,0,0,0,0,14897,2079,16976
