Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
0,0,0,0,0,0,1,0,0.072607261,0,0.449305556,0.380520951,0.43847619
1,0,0,0,0,0,0,0,0.085808581,0,0.599652778,0.389958475,0.525714286
0,1,0,0,0,0,0,0,0,0,0.817476852,0.416509375,0.658603175
0,0,1,0,0,0,0,0,0.01980198,0,0.8625,0.444192777,0.697269841
0,0,0,1,0,0,0,0,0.02310231,0,0.965856481,0.539574682,0.802095238
0,0,0,0,1,0,0,0,0,0,0.879282407,0.566880584,0.768380952
0,0,0,0,0,1,0,0,0.02640264,0,0.703009259,0.542091355,0.659174603
0,0,0,0,0,0,1,0,0,0,0.492476852,0.348810872,0.44615873
1,0,0,0,0,0,0,0,0.00330033,0,0.758333333,0.367685919,0.60152381
0,1,0,0,0,0,0,0,0,0,0.843981481,0.408707688,0.669206349
0,0,1,0,0,0,0,0,0,0,0.856134259,0.436768592,0.690031746
0,0,0,1,0,0,0,0,0,0,0.89537037,0.490625393,0.738730159
0,0,0,0,1,0,0,0,0,0,0.84212963,0.556436391,0.742730159
0,0,0,0,0,1,0,0,0,0,0.637037037,0.516295457,0.609968254
0,0,0,0,0,0,1,0,0,0,0.457638889,0.318233296,0.411619048
1,0,0,0,0,0,0,0,0,0,0.684490741,0.334088335,0.544063492
0,1,0,0,0,0,0,0,0.066006601,0,0.85150463,0.477538694,0.708063492
0,0,1,0,0,0,0,0,0,0,0.889351852,0.446080282,0.712952381
0,0,0,1,0,0,0,0,0,0,0.938194444,0.557065559,0.795746032
0,0,0,0,1,0,0,0,0,0,0.855324074,0.61884988,0.781460317
0,0,0,0,0,1,0,0,0,0,0.775,0.689316723,0.772952381
0,0,0,0,0,0,1,0,1,0,0.601851852,0.620863219,0.643428571
1,0,0,0,0,0,0,0,0.082508251,0,0.707407407,0.358877564,0.569142857
0,1,0,0,0,0,0,0,0,0,0.680671296,0.343022524,0.54647619
0,0,1,0,0,0,0,0,0,0,0.876851852,0.421291053,0.693587302
0,0,0,1,0,0,0,0,0,0,0.869097222,0.490751227,0.724380952
0,0,0,0,1,0,0,0,0,0,0.852546296,0.563483075,0.752
0,0,0,0,0,1,0,0,0,0,0.687268519,0.586510633,0.672952381
0,0,0,0,0,0,1,0,0.00660066,0,0.522800926,0.352711715,0.464761905
1,0,0,0,0,0,0,0,0.00330033,0,0.680787037,0.359758399,0.554984127
0,1,0,0,0,0,0,0,0.231023102,0,0.793287037,0.545866365,0.710603175
0,0,1,0,0,0,0,0,0,0,0.869791667,0.497546244,0.728190476
0,0,0,1,0,0,0,0,0,0,0.891782407,0.543098024,0.763238095
0,0,0,0,1,0,0,0,0.00330033,0,0.890162037,0.715867623,0.84952381
0,0,0,0,0,1,0,0,0,0,0.628009259,0.598590663,0.646539683
0,0,0,0,0,0,1,0,0,0,0.469097222,0.39738266,0.45784127
1,0,0,0,0,0,0,0,0.02310231,0,0.714699074,0.416635208,0.602285714
0,1,0,0,0,0,0,0,0,0,0.819212963,0.450232792,0.676571429
0,0,1,0,0,0,0,0,0,0,0.887962963,0.486598716,0.732634921
