Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6442985156303441,0.052915489339840735,0.5251270468661773
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5776728914426432,0.03776008219881839,0.4634669678147939
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23509933774834438,0.0,0.6621519939804364,0.08913434369380939,0.5557876905702993
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09933774834437087,0.0,0.45242492646555854,0.020164397636783973,0.35234330886504794
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6186469662767632,0.044438736193167225,0.5002258610954263
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03663003663003663,0.016556291390728478,0.0,0.7377385594089884,0.08990495761623425,0.6185206098249576
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8178397975237705,0.09632674030310813,0.6874647092038396
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9248238593611054,0.15116876444901106,0.7998870694522868
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.054945054945054944,0.02317880794701987,0.0,0.9045078322730694,0.15630619059851014,0.7853754940711463
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8857651002120529,0.11995890059080401,0.7539243365330321
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6328066215199398,0.06254816337015155,0.5198757763975155
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11920529801324503,0.0,0.782543265613243,0.10634472129463139,0.6627329192546584
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89835146042821,0.12419727716414077,0.7661773009599097
